job_title,company_name,location,City,State,time_posted,num_applicants,salary,seniority,employment_type,job_function,industry,Min_Salary,Max_Salary
Data Engineer - Remote,Rancho BioSciences,"Boston, MA",Boston,MA,1 week ago,,"$90,000.00/yr - $130,204.96/yr",Entry level,Full-time,Information Technology,Research Services,90000,130204
Senior Data Engineer,Softtek,"Boston, MA",Boston,MA,1 week ago,,"$95,000.00/yr - $125,204.96/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting,95000,125204
Sr Data/ML Engineer,SS&C Technologies,"Waltham, MA",Waltham,MA,3 weeks ago,175 applicants,"$90,000.00/yr - $125,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,90000,125000
Data Engineer,Realtime Recruitment,"Boston, MA",Boston,MA,2 days ago,,"$81,000.08/yr - $155,204.96/yr",Mid-Senior level,Contract,Information Technology,Data Infrastructure and Analytics,81000,155204
Data Engineer,Rancho BioSciences,"Boston, MA",Boston,MA,1 week ago,,"$85,000.00/yr - $140,204.96/yr",Entry level,Full-time,Information Technology,Research Services,85000,140204
Data Engineer,Addgene,"Watertown, MA",Watertown,MA,1 week ago,,"$110,000.00/yr - $125,000.00/yr",Mid-Senior level,Full-time,Information Technology,Internet Publishing,110000,125000
data engineer,SkilzMatrix Digital,"Malvern, PA",Malvern,PA,3 months ago,,"$70,000.00/yr - $120,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting,70000,120000
Sr. Data Engineer,CGS Federal (Contact Government Services),"Philadelphia, PA",Philadelphia,PA,5 days ago,,"$144,768.00/yr - $209,109.33/yr",Associate,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage",144768,209109
Senior Data Engineer,Carlisle Construction Materials,"Kimberton, PA",Kimberton,PA,2 weeks ago,,"$77,000.00/yr - $139,200.00/yr",Mid-Senior level,Full-time,Information Technology,Wholesale Building Materials,77000,139200
Data Engineer,CGS Federal (Contact Government Services),"Philadelphia, PA",Philadelphia,PA,2 months ago,,"$112,597.33/yr - $152,810.66/yr",Not Applicable,Full-time,Information Technology,Government Relations Services,112597,152810
Data Engineer,Home Solutions,"Raleigh, NC",Raleigh,NC,1 month ago,,"$115,000.00/yr - $135,000.00/yr",Entry level,Full-time,Information Technology,"Technology, Information and Internet",115000,135000
Senior Data Engineer,Tekniforce,Raleigh-Durham-Chapel Hill Area,Raleigh-Durham-Chapel Hill Area,NC,3 days ago,,"$120,000.00/yr - $130,000.00/yr",Mid-Senior level,Full-time,Information Technology,"Information Services and Technology, Information and Media",120000,130000
Data Engineer,RBC,"Raleigh, NC",Raleigh,NC,1 week ago,,"$110,000.00/yr - $135,000.00/yr",Not Applicable,Full-time,Information Technology,Banking and Financial Services,110000,135000
Data Engineer,Qualitative Financials,"Durham, NC",Durham,NC,5 months ago,124 applicants,"$85,000.00/yr - $140,204.96/yr",Entry level,Full-time,Information Technology,Information Technology & Services,85000,140204
Mid-level Data Engineer,Signify Technology,"Raleigh, NC",Raleigh,NC,4 days ago,,"$120,000.00/yr - $140,000.00/yr",Mid-Senior level,Full-time,Information Technology,Insurance and IT Services and IT Consulting,120000,140000
Data Engineer,Orion Innovation,"Morrisville, NC",Morrisville,NC,2 weeks ago,,"$75,000.00/yr - $160,204.96/yr",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,75000,160204
Senior Data Engineer - AI Platform,Lenovo,"Morrisville, NC",Morrisville,NC,2 weeks ago,141 applicants,"$85,000.00/yr - $160,204.96/yr",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,85000,160204
Data Engineer,Artech L.L.C.,"Morrisville, NC",Morrisville,NC,1 month ago,51 applicants,"$89,000.00/yr - $125,204.96/yr",Entry level,Contract,Information Technology,Staffing and Recruiting,89000,125204
Data Engineer,Cynet Systems,"Durham, NC",Durham,NC,4 months ago,,"$89,000.00/yr - $125,204.96/yr",Entry level,Contract,Information Technology,Information Technology & Services,89000,125204
Senior Data Engineer,The Clorox Company,"Durham, NC",Durham,NC,4 days ago,,"$90,000.00/yr - $135,000.00/yr",Associate,Full-time,Information Technology,Manufacturing,90000,135000
Azure Databricks - Data Engineer,Infosys,"Raleigh, NC",Raleigh,NC,3 weeks ago,115 applicants,"$115,000.00/yr - $135,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting,115000,135000
"Data Engineer (Hybrid, Raleigh, NC, US)",Astral Insights,"Raleigh, NC",Raleigh,NC,5 months ago,,"$125,000.00/yr - $135,000.00/yr",Entry level,Full-time,Information Technology,Data Infrastructure and Analytics,125000,135000
Azure and Databricks Cloud Data Engineer,Infosys,"Raleigh, NC",Raleigh,NC,3 weeks ago,51 applicants,"$115,000.00/yr - $135,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting,115000,135000
Data Science II (Growth),Tinder,"San Francisco, CA",San Francisco,CA,5 days ago,,"$135,000.00/yr - $155,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development,135000,155000
Data Scientist,"Unreal Staffing, Inc","San Francisco, CA",San Francisco,CA,5 months ago,,"$140,000.00/yr - $210,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education,140000,210000
"Data Scientist, Product Analytics",Meta,"San Francisco, CA",San Francisco,CA,2 days ago,,"$114,000.00/yr - $171,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",114000,171000
"Data Scientist, Decisions - Lyft Business",Lyft,"San Francisco County, CA",San Francisco County,CA,1 week ago,,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Ground Passenger Transportation,190000,235000
"Data Scientist, Product Analytics",Meta,"San Francisco, CA",San Francisco,CA,2 weeks ago,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",134000,204000
"Data Scientist, Human Data",OpenAI,"San Francisco, CA",San Francisco,CA,4 months ago,,"$185,000.00/yr - $225,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Research Services,185000,225000
"Data Scientist, Decisions - Lyft Business",Lyft,"San Francisco County, CA",San Francisco County,CA,1 week ago,,"$128,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Ground Passenger Transportation,128000,180000
Data Scientist,Attain,"San Francisco, CA",San Francisco,CA,2 months ago,,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",190000,235000
Data Scientist I,Russell Tobin,"San Francisco, CA",San Francisco,CA,2 weeks ago,,"$90,000.00/yr - $110,000.00/yr",Entry level,Contract,Engineering and Information Technology,Staffing and Recruiting,90000,110000
"Data Scientist, Product Analytics",Meta,"Burlingame, CA",Burlingame,CA,,,"$114,000.00/yr - $171,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",114000,171000
NLP Machine Learning Engineer,InterSources Inc,"San Francisco, CA",San Francisco,CA,1 month ago,,"$160,000.00/yr - $200,000.00/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting,160000,200000
"Business Data Scientist, Global Business Strategy and Operations",Google,"San Francisco, CA",San Francisco,CA,1 week ago,52 applicants,"$150,000.00/yr - $223,000.00/yr",Not Applicable,Full-time,"General Business, Strategy/Planning, and Consulting","Information Services and Technology, Information and Internet",150000,223000
"Data Scientist, Product Analytics",Meta,"Burlingame, CA",Burlingame,CA,3 weeks ago,,"$173,000.00/yr - $242,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",173000,242000
"Data Scientist, Product Analytics",Meta,"San Francisco, CA",San Francisco,CA,2 days ago,92 applicants,"$173,000.00/yr - $242,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",173000,242000
"Data Scientist, Algorithms, Integrity & Identity",Lyft,"San Francisco County, CA",San Francisco County,CA,2 weeks ago,,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Ground Passenger Transportation,190000,235000
Data Scientist,Zealogics Inc,"San Jose, CA",San Jose,CA,1 month ago,114 applicants,"$170,000.00/yr - $200,000.00/yr",Mid-Senior level,Contract,Engineering and Information Technology,Internet Publishing,170000,200000
Data Scientist - New Grad (2025 Start),Databricks,"Mountain View, CA",Mountain View,CA,1 week ago,,"$165,000.00/yr - $195,000.00/yr",Entry level,Full-time,Engineering,Software Development,165000,195000
AI Research Scientist,Zoom,"San Jose, CA",San Jose,CA,1 week ago,,"$122,200.00/yr - $244,500.00/yr",Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting,122200,244500
Senior Data Scientist - Strategy & Insights,LinkedIn,"Sunnyvale, CA",Sunnyvale,CA,4 days ago,,"$116,000.00/yr - $178,000.00/yr",Not Applicable,Full-time,Engineering,"Technology, Information and Internet and IT Services and IT Consulting",116000,178000
Data Scientist,Brex,"San Francisco, CA",San Francisco,CA,2 weeks ago,,"$140,000.00/yr - $175,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Financial Services,140000,175000
Data Scientist,Natera,"San Carlos, CA",San Carlos,CA,1 week ago,,"$155,000.00/yr - $175,000.00/yr",Entry level,Full-time,Research and Science,"Biotechnology Research, Pharmaceutical Manufacturing, and Software Development",155000,175000
Data Scientist,Home Organizers,"Hacienda Heights, CA",Hacienda Heights,CA,2 months ago,,"$155,000.00/yr - $175,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Furniture and Home Furnishings Manufacturing,155000,175000
"Staff Data Scientist, Strategy & Insights",LinkedIn,"Sunnyvale, CA",Sunnyvale,CA,4 days ago,,"$138,000.00/yr - $226,000.00/yr",Not Applicable,Full-time,Engineering,"Technology, Information and Internet and IT Services and IT Consulting",138000,226000
"Senior Data Scientist, Analytics - User Lifecycle",Discord,"San Francisco, CA",San Francisco,CA,1 week ago,,"$183,000.00/yr - $201,500.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,183000,201500
AI/ML Data Scientist,"Unreal Staffing, Inc","San Francisco, CA",San Francisco,CA,5 months ago,,"$140,000.00/yr - $210,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education,140000,210000
Data Scientist,Twitch,"San Francisco, CA",San Francisco,CA,4 days ago,,"$135,000.00/yr - $175,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",135000,175000
Data Scientist,Brex,"San Francisco, CA",San Francisco,CA,2 weeks ago,,"$145,000.00/yr - $185,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Financial Services,145000,185000
Data Scientist,VeeAR Projects Inc.,"Sunnyvale, CA",Sunnyvale,CA,1 month ago,27 applicants,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting,190000,235000
Senior Machine Learning Engineer,OPPO,"Palo Alto, CA",Palo Alto,CA,1 month ago,35 applicants,"$100,000.00/yr - $300,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Non-profit Organizations and Primary and Secondary Education,100000,300000
"Senior Data Scientist, Analytics - User Lifecycle",Discord,"San Francisco, CA",San Francisco,CA,1 week ago,,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,190000,235000
"Data Scientist, Game Analytics","Niantic, Inc.","Sunnyvale, CA",Sunnyvale,CA,4 days ago,,"$158,400.00/yr - $176,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development,158400,176000
"Data Scientist, Product Analytics",Meta,"Menlo Park, CA",Menlo Park,CA,3 weeks ago,,"$114,000.00/yr - $171,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",114000,171000
Data Scientist,SMARTWORK IT SERVICES LLC (SWITS),"Santa Clara, CA",Santa Clara,CA,1 month ago,157 applicants,"$165,000.00/yr - $175,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,165000,175000
Data Scientist,"Unreal Staffing, Inc","San Francisco, CA",San Francisco,CA,6 months ago,,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education,190000,235000
Data Scientist,Twitch,"San Francisco, CA",San Francisco,CA,4 days ago,,"$125,500.00/yr - $212,800.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",125500,212800
Data Scientist,"Donato Technologies, Inc.","Sunnyvale, CA",Sunnyvale,CA,4 months ago,,"$145,000.00/yr - $165,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,145000,165000
Machine Learning Engineer,Netflix,"Los Gatos, CA",Los Gatos,CA,1 week ago,,"$100,000.00/yr - $720,000.00/yr",Not Applicable,Full-time,Other,Entertainment Providers,100000,720000
Data Scientist,Anthro,"San Jose, CA",San Jose,CA,3 days ago,,"$155,000.00/yr - $175,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",155000,175000
Data Science,Syntricate Technologies,"Cupertino, CA",Cupertino,CA,2 weeks ago,37 applicants,"$125,000.00/yr - $175,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,125000,175000
"Data Scientist, Product Analytics",Meta,"Sunnyvale, CA",Sunnyvale,CA,4 days ago,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",134000,204000
Data Scientist 2,Intuit,"Mountain View, CA",Mountain View,CA,1 week ago,,"$175,000.00/yr - $220,000.00/yr",Associate,Full-time,Engineering and Information Technology,Software Development,175000,220000
Data Scientist 2,Intuit,"Mountain View, CA",Mountain View,CA,2 weeks ago,,"$175,000.00/yr - $220,000.00/yr",Associate,Full-time,Engineering and Information Technology,Software Development,175000,220000
Senior Data Scientist,Walmart Global Tech,"Sunnyvale, CA",Sunnyvale,CA,1 week ago,,"$117,000.00/yr - $234,000.00/yr",Mid-Senior level,Full-time,Information Technology,Software Development and Retail,117000,234000
"Data Scientist, Game Analytics","Niantic, Inc.","Sunnyvale, CA",Sunnyvale,CA,5 days ago,,"$158,400.00/yr - $176,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development,158400,176000
Senior Machine Learning Engineer,OPPO,"Palo Alto, CA",Palo Alto,CA,1 month ago,35 applicants,"$120,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Non-profit Organizations and Primary and Secondary Education,120000,180000
Data Science Graduate (TikTok-Product-Data Science) - 2025 Start (MS),TikTok,"San Jose, CA",San Jose,CA,2 weeks ago,156 applicants,"$114,000.00/yr - $177,777.00/yr",Not Applicable,Full-time,"Research, Analyst, and Information Technology",Entertainment Providers,114000,177777
"Data Scientist, Product Analytics",Meta,"Menlo Park, CA",Menlo Park,CA,3 weeks ago,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",134000,204000
"Data Scientist, Product Analytics",Meta,"Fremont, CA",Fremont,CA,2 weeks ago,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",134000,204000
"Data Scientist, Product Analytics",Meta,"Menlo Park, CA",Menlo Park,CA,2 weeks ago,,"$173,000.00/yr - $242,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",173000,242000
Machine Learning Engineer,Inhabitr,"Milpitas, CA",Milpitas,CA,2 days ago,117 applicants,"$120,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",120000,150000
"Data Scientist, Product Analytics",Meta,"Sunnyvale, CA",Sunnyvale,CA,,,"$114,000.00/yr - $171,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",114000,171000
"Data Scientist, Product Analytics",Meta,"Sunnyvale, CA",Sunnyvale,CA,2 weeks ago,,"$173,000.00/yr - $242,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",173000,242000
Machine Learning Engineer,Inhabitr,"Milpitas, CA",Milpitas,CA,2 days ago,118 applicants,"$120,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",120000,150000
"Data Scientist, Product",Notion,"San Francisco, CA",San Francisco,CA,1 week ago,,"$136,000.00/yr - $230,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Software Development,136000,230000
Jr. Data Scientist AI,"QTC Management, Inc.","San Antonio, TX",San Antonio,TX,4 days ago,170 applicants,"$65,000.00/yr - $80,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Hospitals and Health Care,65000,80000
DATA SCIENTIST,PETADATA,"Santa Clarita, CA",Santa Clarita,CA,4 days ago,59 applicants,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",190000,235000
"Senior, Data Scientist",Walmart,"Bentonville, AR",Bentonville,AR,1 week ago,74 applicants,"$90,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Retail,90000,180000
Research Scientist,Rishabh Software,"Durham, NC",Durham,NC,6 days ago,,"$70,000.00/yr - $120,000.00/yr",Mid-Senior level,Contract,IT Services and IT Consulting,,70000,120000
Data Scientist,Glo,"Daly City, CA",Daly City,CA,3 months ago,,"$145,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing,145000,180000
"Data Scientist, Model Risk Management",PayPal,"Austin, TX",Austin,TX,6 days ago,,"$100,000.00/yr - $140,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Software Development, Financial Services, and Technology, Information and Internet",100000,140000
Data Scientist (IV) – Generative AI,HP,"Vancouver, WA",Vancouver,WA,2 weeks ago,84 applicants,"$118,050.00/yr - $181,800.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Computer Hardware Manufacturing, Software Development, and IT Services and IT Consulting",118050,181800
Machine Learning Engineer - Platform,Coinbase,"Portland, OR",Portland,OR,2 weeks ago,165 applicants,"$147,900.00/yr - $174,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",147900,174000
"T&D Data Scientist I, Salt Lake City, UT or Portland, OR 112795",PacifiCorp,"Portland, OR",Portland,OR,1 day ago,,"$76,200.00/yr - $89,600.00/yr",Entry level,Full-time,Engineering and Information Technology,Utilities,76200,89600
Data Scientist,Coinbase,"Portland, OR",Portland,OR,2 weeks ago,,"$140,250.00/yr - $165,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",140250,165000
"Data Scientist, Algorithms, Fulfilment",Lyft,"Seattle, WA",Seattle,WA,2 weeks ago,,"$124,000.00/yr - $185,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Ground Passenger Transportation,124000,185000
Data Scientist,Augment Jobs,"Seattle, WA",Seattle,WA,3 weeks ago,127 applicants,"$90,000.00/yr - $120,000.00/yr",Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting,90000,120000
"Data Scientist, Product Analytics",Meta,"Bellevue, WA",Bellevue,WA,1 week ago,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",134000,204000
Data Scientist,Microsoft,"Redmond, WA",Redmond,WA,6 days ago,,"$98,300.00/yr - $208,800.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Software Development,98300,208800
Data Scientist,Augment Jobs,"Seattle, WA",Seattle,WA,5 days ago,121 applicants,"$90,000.00/yr - $120,000.00/yr",Associate,Full-time,Engineering and Information Technology,Advertising Services,90000,120000
Data Scientist,Augment Jobs,"Seattle, WA",Seattle,WA,1 week ago,120 applicants,"$90,000.00/yr - $120,000.00/yr",Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting,90000,120000
"Data Scientist, Product Analytics",Meta,"Redmond, WA",Redmond,WA,3 days ago,,"$114,000.00/yr - $171,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",114000,171000
"Data Scientist, Product Analytics",Meta,"Seattle, WA",Seattle,WA,2 weeks ago,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",134000,204000
"Data Scientist, Product Analytics",Meta,"Bellevue, WA",Bellevue,WA,,,"$114,000.00/yr - $171,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",114000,171000
Data Scientist,Ampcus Inc,"Seattle, WA",Seattle,WA,2 days ago,62 applicants,"$70,000.00/yr - $90,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Biotechnology Research and IT Services and IT Consulting,70000,90000
Data Scientist Graduate (Global E-Commerce-Data Science) - 2025 Start (BS/MS),TikTok,"Seattle, WA",Seattle,WA,2 weeks ago,145 applicants,"$148,960.00/yr - $165,511.00/yr",Not Applicable,Full-time,"Information Technology, Product Management, and Engineering",Entertainment Providers,148960,165511
"Data Scientist, Decisions, Rider Experience",Lyft,"Seattle, WA",Seattle,WA,2 weeks ago,143 applicants,"$124,000.00/yr - $155,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Ground Passenger Transportation,124000,155000
"Data Scientist, Product Analytics",Meta,"Bellevue, WA",Bellevue,WA,,,"$173,000.00/yr - $242,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",173000,242000
Data Scientist,Visa,"Washington, DC",Washington,DC,4 days ago,,"$113,000.00/yr - $175,100.00/yr",Director,Full-time,Business Development,IT Services and IT Consulting,113000,175100
"Data Scientist, Product Analytics",Meta,"Washington, DC",Washington,DC,2 weeks ago,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",134000,204000
"Data Scientist, Product Analytics",Meta,"Washington, DC",Washington,DC,,,"$173,000.00/yr - $242,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",173000,242000
Data Scientist,GliaCell Technologies,"Annapolis Junction, MD",Annapolis Junction,MD,9 months ago,137 applicants,"$50,000.00/yr - $120,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing,50000,120000
"Data Scientist - Hybrid - Chicago, IL",Sierra ITS,"Rosemont, IL",Rosemont,IL,1 month ago,,"$80,000.00/yr - $130,000.00/yr",Associate,Full-time,Engineering and Information Technology,Information Services and IT Services and IT Consulting,80000,130000
Data Scientist,Walgreens,"Deerfield, IL",Deerfield,IL,5 days ago,,"$90,000.00/yr - $140,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Retail Pharmacies,90000,140000
Data Scientist,Jobs Malaysia - Two95 HR HUB,"Chicago, IL",Chicago,IL,5 months ago,46 applicants,"$70,000.00/yr - $110,000.00/yr",Entry level,Full-time,Information Technology,Non-profit Organizations and Primary and Secondary Education,70000,110000
Data Scientist,IT Associates,"Rosemont, IL",Rosemont,IL,2 days ago,,"$80,000.00/yr - $130,000.00/yr",Associate,Full-time,Information Technology,Retail,80000,130000
AI/Machine Learning Engineer,HatchPros,"Chicago, IL",Chicago,IL,2 weeks ago,108 applicants,"$110,000.00/yr - $150,000.00/yr",Mid-Senior level,Contract,Engineering and Information Technology,Staffing and Recruiting,110000,150000
Data Scientist,Scale Marketing,"Chicago, IL",Chicago,IL,4 days ago,,"$150,000.00/yr - $198,000.00/yr",Mid-Senior level,Full-time,Marketing and Advertising,Marketing Services and Advertising Services,150000,198000
Data Scientist - Junior,SynergisticIT,"Chicago, IL",Chicago,IL,5 days ago,41 applicants,"$80,000.00/yr - $130,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Biotechnology Research and IT Services and IT Consulting,80000,130000
"Data Scientist, RWE Clinical Trials - Remote",Walgreens,"Deerfield, IL",Deerfield,IL,1 week ago,,"$90,000.00/yr - $140,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Retail Pharmacies,90000,140000
Machine Learning Engineer,TackleAI,"Schaumburg, IL",Schaumburg,IL,1 week ago,,"$85,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,85000,150000
"Data Scientist / Quantitative Researcher, Systematic Trading",KYYBA Inc,"Chicago, IL",Chicago,IL,1 month ago,,"$130,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting,130000,150000
Data Scientist,WellBe Senior Medical,"Chicago, IL",Chicago,IL,1 week ago,92 applicants,"$60,000.00/yr - $110,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Medical Practices,60000,110000
Data Scientist,Synergy Interactive,"Chicago, IL",Chicago,IL,1 week ago,,"$65,000.00/yr - $75,000.00/yr",Mid-Senior level,Contract,Analyst,IT Services and IT Consulting and Advertising Services,65000,75000
Data Scientist,Digital Prospectors,"Waltham, MA",Waltham,MA,2 weeks ago,,"$70,000.00/yr - $100,000.00/yr",Associate,Contract,Information Technology,Higher Education,70000,100000
Machine Learning Engineer,Neural Magic,"Somerville, MA",Somerville,MA,3 months ago,,"$100,000.00/yr - $180,000.00/yr",Associate,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education,100000,180000
Machine Learning Research Engineer,Neural Magic,"Somerville, MA",Somerville,MA,2 months ago,,"$80,000.00/yr - $120,000.00/yr",Entry level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education,80000,120000
Data Scientist,Red Hat,"Boston, MA",Boston,MA,2 days ago,176 applicants,"$127,890.00/yr - $211,180.00/yr",Not Applicable,Full-time,Engineering,Software Development and IT Services and IT Consulting,127890,211180
Data Scientist,Sonatus,"Boston, MA",Boston,MA,1 month ago,,"$86,000.00/yr - $267,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Software Development,86000,267000
Data Scientist,KDR Talent Solutions USA,"Boston, MA",Boston,MA,5 days ago,,"$90,000.00/yr - $130,000.00/yr",Entry level,Full-time,Information Technology,Research Services,90000,130000
"Scientist I/II, Data Science",Sail Biomedicines,"Cambridge, MA",Cambridge,MA,1 month ago,79 applicants,"$80,000.00/yr - $130,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Biotechnology Research,80000,130000
"Data Scientist II/ Senior Data Scientist I, High-throughput Assay Analytics",Generate:Biomedicines,"Somerville, MA",Somerville,MA,2 weeks ago,,"$100,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Biotechnology Research,100000,150000
Machine Learning Scientist,Flagship Pioneering,"Cambridge, MA",Cambridge,MA,2 weeks ago,,"$150,000.00/yr - $200,000.00/yr",Mid-Senior level,Full-time,Science,Biotechnology Research and Research Services,150000,200000
Junior/Entry Level Data Scientist,SynergisticIT,"Boston, MA",Boston,MA,2 months ago,84 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting,70000,100000
Machine Learning Research Engineer,MindTech,"Boston, MA",Boston,MA,3 days ago,117 applicants,"$250,000.00/yr - $300,000.00/yr",Director,Full-time,Engineering and Information Technology,IT Services and IT Consulting,250000,300000
Biological Data Scientist,Rancho BioSciences,"Boston, MA",Boston,MA,2 weeks ago,,"$90,000.00/yr - $130,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Research Services,90000,130000
ML Engineer,Sanofi,"Cambridge, MA",Cambridge,MA,2 weeks ago,,"$130,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Pharmaceutical Manufacturing, Chemical Manufacturing, and Biotechnology Research",130000,180000
Machine Learning Engineer,"Tagup, Inc.","Boston, MA",Boston,MA,1 month ago,88 applicants,"$95,000.00/yr - $130,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Transportation, Logistics, Supply Chain and Storage",95000,130000
