job_title,company_name,location,City,State,time_posted,num_applicants,salary,seniority,employment_type,job_function,industry,Min_Salary,Max_Salary
Automation Maintenance Technician (All Levels),Symbotic,"Woodland, CA",Woodland,CA,1 day ago,,"$90,000.00/yr - $130,000.00/yr",Entry level,Full-time,Management and Manufacturing,"Automation Machinery Manufacturing, Software Development, and Industrial Automation",90000,130000
"Principal AI Architect - Telecom, Media & Tech (TMT) - Senior Manager - Consulting - Location Open",EY,"Sacramento, CA",Sacramento,CA,2 weeks ago,,"$160,000.00/yr - $200,000.00/yr",Mid-Senior level,Full-time,"Design, Art/Creative, and Information Technology",IT Services and IT Consulting,160000,200000
Enterprise Tech - Tech Lead - Gen AI Solutions,PwC,"Sacramento, CA",Sacramento,CA,2 weeks ago,,"$124,000.00/yr - $280,000.00/yr",Not Applicable,Full-time,Information Technology,"Accounting, Financial Services, and Business Consulting and Services",124000,280000
Data Architect,Kiddom,"San Francisco, CA",San Francisco,CA,1 week ago,,"$150,000.00/yr - $200,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,E-Learning Providers,150000,200000
Solutions Architect - Startups,Databricks,"Berkeley, CA",Berkeley,CA,6 days ago,,"$220,000.00/yr - $325,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,220000,325000
"Senior Data Scientist, Analytics - User Lifecycle",Discord,"San Francisco, CA",San Francisco,CA,1 week ago,,"$190,000.00/yr - $235,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,190000,235000
Data Architect,Highnote,"San Francisco, CA",San Francisco,CA,1 week ago,,"$170,000.00/yr - $230,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",170000,230000
Big Data Architect,"Unreal Staffing, Inc","San Francisco, CA",San Francisco,CA,6 months ago,28 applicants,"$165,000.00/yr - $220,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education,165000,220000
Senior Data Architect,"Unreal Staffing, Inc","San Francisco, CA",San Francisco,CA,5 months ago,182 applicants,"$190,000.00/yr - $250,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education,190000,250000
Data Architect,"Unreal Staffing, Inc","San Francisco, CA",San Francisco,CA,5 months ago,67 applicants,"$150,000.00/yr - $230,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education,150000,230000
